Store ID,Product ID,Category,Region,Previous Average Demand,Recent Average Demand,Demand Change,Demand Change %,Demand Trend
S001,P0001,Electronics,North,94.63,90.3,-4.33,-4.58,Stable
S001,P0002,Clothing,North,133.0,119.5,-13.5,-10.15,Decreasing
S001,P0003,Clothing,North,142.77,130.27,-12.5,-8.76,Decreasing
S001,P0004,Electronics,North,96.17,89.1,-7.07,-7.35,Decreasing
S001,P0005,Groceries,North,109.5,113.13,3.63,3.32,Stable
S001,P0006,Toys,North,99.17,70.17,-29.0,-29.24,Decreasing
S001,P0007,Groceries,North,118.8,94.27,-24.53,-20.65,Decreasing
S001,P0008,Electronics,North,95.67,95.7,0.03,0.03,Stable
S001,P0009,Clothing,North,157.07,141.8,-15.27,-9.72,Decreasing
S001,P0010,Furniture,North,81.17,65.53,-15.63,-19.26,Decreasing
S001,P0011,Furniture,North,73.37,74.23,0.87,1.18,Stable
S001,P0012,Groceries,North,117.5,103.53,-13.97,-11.89,Decreasing
S001,P0013,Toys,North,91.5,83.27,-8.23,-9.0,Decreasing
S001,P0014,Groceries,North,106.6,106.47,-0.13,-0.13,Stable
S001,P0015,Toys,North,84.13,89.67,5.53,6.58,Increasing
S001,P0016,Groceries,North,114.37,115.43,1.07,0.93,Stable
S001,P0017,Toys,North,96.4,86.4,-10.0,-10.37,Decreasing
S001,P0018,Groceries,North,112.0,111.93,-0.07,-0.06,Stable
S001,P0019,Furniture,North,76.67,67.73,-8.93,-11.65,Decreasing
S001,P0020,Furniture,North,74.57,63.4,-11.17,-14.98,Decreasing
S002,P0001,Groceries,South,121.2,104.0,-17.2,-14.19,Decreasing
S002,P0002,Toys,South,104.37,74.23,-30.13,-28.87,Decreasing
S002,P0003,Groceries,South,103.53,98.7,-4.83,-4.67,Stable
S002,P0004,Groceries,South,117.23,115.73,-1.5,-1.28,Stable
S002,P0005,Electronics,South,98.57,91.4,-7.17,-7.27,Decreasing
S002,P0006,Clothing,South,127.07,119.83,-7.23,-5.69,Decreasing
S002,P0007,Toys,South,84.03,79.93,-4.1,-4.88,Stable
S002,P0008,Groceries,South,124.67,106.37,-18.3,-14.68,Decreasing
S002,P0009,Groceries,South,131.93,117.83,-14.1,-10.69,Decreasing
S002,P0010,Groceries,South,128.73,125.13,-3.6,-2.8,Stable
S002,P0011,Groceries,South,113.5,112.53,-0.97,-0.85,Stable
S002,P0012,Electronics,South,92.07,81.03,-11.03,-11.98,Decreasing
S002,P0013,Groceries,South,104.63,108.23,3.6,3.44,Stable
S002,P0014,Electronics,South,91.5,86.43,-5.07,-5.54,Decreasing
S002,P0015,Clothing,South,115.23,128.13,12.9,11.19,Increasing
S002,P0016,Clothing,South,122.77,122.53,-0.23,-0.19,Stable
S002,P0017,Toys,South,87.63,77.33,-10.3,-11.75,Decreasing
S002,P0018,Clothing,South,117.5,109.4,-8.1,-6.89,Decreasing
S002,P0019,Clothing,South,124.13,119.2,-4.93,-3.97,Stable
S002,P0020,Furniture,South,72.8,64.77,-8.03,-11.03,Decreasing
S003,P0001,Toys,East,94.73,80.7,-14.03,-14.81,Decreasing
S003,P0002,Groceries,East,120.2,96.5,-23.7,-19.72,Decreasing
S003,P0003,Electronics,East,111.97,84.13,-27.83,-24.86,Decreasing
S003,P0004,Groceries,East,123.4,123.57,0.17,0.14,Stable
S003,P0005,Toys,East,88.93,84.23,-4.7,-5.28,Decreasing
S003,P0006,Toys,East,95.1,80.47,-14.63,-15.39,Decreasing
S003,P0007,Groceries,East,109.8,100.83,-8.97,-8.17,Decreasing
S003,P0008,Clothing,East,121.53,122.6,1.07,0.88,Stable
S003,P0009,Groceries,East,130.13,107.1,-23.03,-17.7,Decreasing
S003,P0010,Groceries,East,112.83,105.8,-7.03,-6.23,Decreasing
S003,P0011,Electronics,East,103.9,93.2,-10.7,-10.3,Decreasing
S003,P0012,Furniture,East,75.3,75.0,-0.3,-0.4,Stable
S003,P0013,Groceries,East,111.83,113.67,1.83,1.64,Stable
S003,P0014,Groceries,East,121.9,116.17,-5.73,-4.7,Stable
S003,P0015,Groceries,East,105.4,114.1,8.7,8.25,Increasing
S003,P0016,Electronics,East,108.27,100.93,-7.33,-6.77,Decreasing
S003,P0017,Furniture,East,74.2,72.4,-1.8,-2.43,Stable
S003,P0018,Furniture,East,72.67,65.6,-7.07,-9.72,Decreasing
S003,P0019,Groceries,East,115.1,115.8,0.7,0.61,Stable
S003,P0020,Clothing,East,147.8,118.17,-29.63,-20.05,Decreasing
S004,P0001,Groceries,West,118.7,107.33,-11.37,-9.58,Decreasing
S004,P0002,Groceries,West,118.33,93.9,-24.43,-20.65,Decreasing
S004,P0003,Furniture,West,78.27,63.3,-14.97,-19.12,Decreasing
S004,P0004,Groceries,West,113.47,127.23,13.77,12.13,Increasing
S004,P0005,Clothing,West,118.6,117.23,-1.37,-1.15,Stable
S004,P0006,Groceries,West,100.67,105.3,4.63,4.6,Stable
S004,P0007,Groceries,West,115.73,103.0,-12.73,-11.0,Decreasing
S004,P0008,Furniture,West,71.03,68.37,-2.67,-3.75,Stable
S004,P0009,Clothing,West,123.53,125.23,1.7,1.38,Stable
S004,P0010,Groceries,West,120.5,118.43,-2.07,-1.72,Stable
S004,P0011,Clothing,West,115.33,126.03,10.7,9.28,Increasing
S004,P0012,Electronics,West,101.6,101.63,0.03,0.03,Stable
S004,P0013,Groceries,West,117.4,110.4,-7.0,-5.96,Decreasing
S004,P0014,Furniture,West,67.8,75.23,7.43,10.96,Increasing
S004,P0015,Furniture,West,69.93,63.77,-6.17,-8.82,Decreasing
S004,P0016,Furniture,West,72.97,70.13,-2.83,-3.88,Stable
S004,P0017,Clothing,West,116.83,127.57,10.73,9.19,Increasing
S004,P0018,Furniture,West,72.5,61.37,-11.13,-15.36,Decreasing
S004,P0019,Clothing,West,122.43,111.47,-10.97,-8.96,Decreasing
S004,P0020,Furniture,West,69.33,64.23,-5.1,-7.36,Decreasing
S005,P0001,Groceries,North,119.07,113.23,-5.83,-4.9,Stable
S005,P0002,Electronics,North,102.03,84.27,-17.77,-17.41,Decreasing
S005,P0003,Toys,North,90.2,72.0,-18.2,-20.18,Decreasing
S005,P0004,Groceries,North,121.03,117.23,-3.8,-3.14,Stable
S005,P0005,Groceries,North,106.57,120.17,13.6,12.76,Increasing
S005,P0006,Groceries,North,128.1,104.5,-23.6,-18.42,Decreasing
S005,P0007,Groceries,North,109.63,99.17,-10.47,-9.55,Decreasing
S005,P0008,Groceries,North,125.0,124.47,-0.53,-0.43,Stable
S005,P0009,Groceries,North,129.33,105.47,-23.87,-18.45,Decreasing
S005,P0010,Groceries,North,110.43,102.93,-7.5,-6.79,Decreasing
S005,P0011,Electronics,North,89.87,88.73,-1.13,-1.26,Stable
S005,P0012,Furniture,North,78.03,72.03,-6.0,-7.69,Decreasing
S005,P0013,Groceries,North,122.23,111.87,-10.37,-8.48,Decreasing
S005,P0014,Furniture,North,79.5,69.17,-10.33,-13.0,Decreasing
S005,P0015,Groceries,North,101.77,109.5,7.73,7.6,Increasing
S005,P0016,Toys,North,95.33,83.8,-11.53,-12.1,Decreasing
