Date,Store ID,Product ID,Category,Region,Predicted Demand
2024-01-31,S003,P0010,Groceries,East,138.35
2024-02-01,S003,P0010,Groceries,East,139.23
2024-02-02,S003,P0010,Groceries,East,138.9
2024-02-03,S003,P0010,Groceries,East,139.85
2024-02-04,S003,P0010,Groceries,East,139.57
2024-02-05,S003,P0010,Groceries,East,138.48
2024-02-06,S003,P0010,Groceries,East,140.49
2024-01-31,S005,P0018,Clothing,North,82.02
2024-02-01,S005,P0018,Clothing,North,84.84
2024-02-02,S005,P0018,Clothing,North,91.2
2024-02-03,S005,P0018,Clothing,North,94.1
2024-02-04,S005,P0018,Clothing,North,94.48
2024-02-05,S005,P0018,Clothing,North,95.23
2024-02-06,S005,P0018,Clothing,North,85.77
2024-01-31,S002,P0006,Clothing,South,116.8
2024-02-01,S002,P0006,Clothing,South,117.13
2024-02-02,S002,P0006,Clothing,South,111.54
2024-02-03,S002,P0006,Clothing,South,109.37
2024-02-04,S002,P0006,Clothing,South,116.01
2024-02-05,S002,P0006,Clothing,South,113.66
2024-02-06,S002,P0006,Clothing,South,112.61
2024-01-31,S002,P0007,Toys,South,110.83
2024-02-01,S002,P0007,Toys,South,102.73
2024-02-02,S002,P0007,Toys,South,100.46
2024-02-03,S002,P0007,Toys,South,99.83
2024-02-04,S002,P0007,Toys,South,101.49
2024-02-05,S002,P0007,Toys,South,99.11
2024-02-06,S002,P0007,Toys,South,99.63
2024-01-31,S002,P0008,Groceries,South,92.19
2024-02-01,S002,P0008,Groceries,South,93.33
2024-02-02,S002,P0008,Groceries,South,94.79
2024-02-03,S002,P0008,Groceries,South,93.69
2024-02-04,S002,P0008,Groceries,South,93.6
2024-02-05,S002,P0008,Groceries,South,94.27
2024-02-06,S002,P0008,Groceries,South,91.45
2024-01-31,S002,P0009,Groceries,South,110.81
2024-02-01,S002,P0009,Groceries,South,105.35
2024-02-02,S002,P0009,Groceries,South,102.3
2024-02-03,S002,P0009,Groceries,South,100.25
2024-02-04,S002,P0009,Groceries,South,100.17
2024-02-05,S002,P0009,Groceries,South,97.68
2024-02-06,S002,P0009,Groceries,South,97.78
2024-01-31,S002,P0010,Groceries,South,104.81
2024-02-01,S002,P0010,Groceries,South,107.06
2024-02-02,S002,P0010,Groceries,South,107.92
2024-02-03,S002,P0010,Groceries,South,107.02
2024-02-04,S002,P0010,Groceries,South,106.15
2024-02-05,S002,P0010,Groceries,South,103.75
2024-02-06,S002,P0010,Groceries,South,105.57
2024-01-31,S002,P0011,Groceries,South,57.72
2024-02-01,S002,P0011,Groceries,South,53.36
2024-02-02,S002,P0011,Groceries,South,48.19
2024-02-03,S002,P0011,Groceries,South,44.81
2024-02-04,S002,P0011,Groceries,South,44.08
2024-02-05,S002,P0011,Groceries,South,41.95
2024-02-06,S002,P0011,Groceries,South,50.25
2024-01-31,S002,P0012,Electronics,South,98.89
2024-02-01,S002,P0012,Electronics,South,98.58
2024-02-02,S002,P0012,Electronics,South,99.01
2024-02-03,S002,P0012,Electronics,South,100.27
2024-02-04,S002,P0012,Electronics,South,101.87
2024-02-05,S002,P0012,Electronics,South,102.22
2024-02-06,S002,P0012,Electronics,South,102.79
