Store ID,Product ID,Category,Region,Inventory Level,Demand,Total_Forecast_Demand,Average_Daily_Demand,Maximum_Daily_Demand,Safety_Stock,Reorder_Level,Recommended_Inventory,Inventory_Difference,Inventory_Coverage_Days,Recommended_Order_Quantity,Stockout_Risk,Overstock_Risk,Recommended_Action
S004,P0005,Clothing,West,184,98,431.43,61.63,80.89,86.29,517.72,517.72,-333.72,2.99,333.72,High,Low,Order Immediately
S004,P0013,Groceries,West,389,34,311.56,44.51,47.14,62.31,373.87,373.87,15.13,8.74,0.0,Low,Low,Inventory Healthy
S004,P0012,Electronics,West,201,91,444.71,63.53,79.97,88.94,533.65,533.65,-332.65,3.16,332.65,High,Low,Order Immediately
S004,P0011,Clothing,West,596,96,614.25,87.75,93.76,122.85,737.1,737.1,-141.1,6.79,141.1,Medium,Low,Reorder
S004,P0010,Groceries,West,247,117,651.64,93.09,109.69,130.33,781.97,781.97,-534.97,2.65,534.97,High,Low,Order Immediately
S004,P0009,Clothing,West,472,127,797.33,113.9,128.79,159.47,956.8,956.8,-484.8,4.14,484.8,Medium,Low,Reorder
S004,P0008,Furniture,West,92,69,456.05,65.15,67.52,91.21,547.26,547.26,-455.26,1.41,455.26,High,Low,Order Immediately
S004,P0007,Groceries,West,574,154,814.48,116.35,122.78,162.9,977.38,977.38,-403.38,4.93,403.38,Medium,Low,Reorder
S004,P0006,Groceries,West,134,98,526.45,75.21,93.69,105.29,631.74,631.74,-497.74,1.78,497.74,High,Low,Order Immediately
S004,P0004,Groceries,West,439,132,973.21,139.03,139.65,194.64,1167.85,1167.85,-728.85,3.16,728.85,High,Low,Order Immediately
S003,P0012,Furniture,East,286,49,415.48,59.35,62.18,83.1,498.58,498.58,-212.58,4.82,212.58,Medium,Low,Reorder
S004,P0002,Groceries,West,273,57,333.28,47.61,50.4,66.66,399.94,399.94,-126.94,5.73,126.94,Medium,Low,Reorder
S004,P0001,Groceries,West,342,123,585.33,83.62,112.36,117.07,702.4,702.4,-360.4,4.09,360.4,Medium,Low,Reorder
S003,P0020,Clothing,East,113,96,704.32,100.62,103.11,140.86,845.18,845.18,-732.18,1.12,732.18,High,Low,Order Immediately
